Cityid,City,Cloudiness,Country,Date,Humidity,latitude,Longitude,Maxtemp,Windspeed
1,Saint-Pierre,75,RE,1595103628,88,-21.34,55.48,19.0,9.3
2,Itaituba,52,BR,1595103398,30,-4.28,-55.98,35.39,1.77
3,Jamestown,1,US,1595103523,58,42.1,-79.24,30.56,4.6
4,Bluff,0,NZ,1595103628,82,-46.6,168.33,2.55,3.89
5,Punta Arenas,40,CL,1595103368,80,-53.15,-70.92,2.0,8.2
6,Kruisfontein,0,ZA,1595103628,73,-34.0,24.73,12.35,3.62
7,Mahébourg,75,MU,1595103503,56,-20.41,57.7,21.0,5.7
8,Busselton,37,AU,1595103628,77,-33.65,115.33,10.56,3.09
9,Yanam,86,IN,1595103628,85,16.73,82.22,26.81,1.52
10,Mataura,0,NZ,1595103628,93,-46.19,168.86,-0.73,1.03
11,Ushuaia,75,AR,1595103587,86,-54.8,-68.3,1.0,0.45
12,Atuona,89,PF,1595103332,76,-9.8,-139.03,26.46,6.42
13,Clyde River,75,CA,1595103628,81,70.47,-68.59,7.0,7.7
14,Kismayo,27,SO,1595103628,76,-0.36,42.55,25.23,9.6
15,Khelyulya,62,RU,1595103628,66,61.73,30.68,17.03,1.24
16,Fort Nelson,75,CA,1595103628,46,58.81,-122.7,23.0,1.5
18,Pará de Minas,37,BR,1595103628,60,-19.86,-44.61,20.76,4.27
19,Vaini,75,TO,1595103628,94,-21.2,-175.2,25.0,2.6
20,Pangnirtung,75,CA,1595103628,81,66.15,-65.71,9.0,6.2
21,Rikitea,23,PF,1595103328,82,-23.12,-134.97,22.85,10.11
22,Tessalit,45,ML,1595103628,27,20.2,1.01,33.13,4.25
23,Dikson,100,RU,1595103629,95,73.51,80.55,4.16,3.36
24,Hambantota,80,LK,1595103439,80,6.12,81.12,26.63,5.21
25,Yellowknife,20,CA,1595103362,49,62.46,-114.35,22.22,5.7
26,Hobart,34,AU,1595103405,76,-42.88,147.33,9.0,2.6
27,Ambilobe,0,MG,1595103629,66,-13.2,49.05,18.84,2.39
28,Constitución,99,CL,1595103629,84,-35.33,-72.42,13.77,6.58
29,Khatanga,100,RU,1595103629,81,71.97,102.5,7.39,0.75
30,Zhuhai,20,CN,1595103629,83,22.28,113.57,29.44,4.6
31,Souillac,75,MU,1595103629,56,-20.52,57.52,21.0,5.7
32,Tuktoyaktuk,90,CA,1595103629,87,69.45,-133.04,6.0,5.1
33,Carnarvon,0,AU,1595103629,76,-24.87,113.63,11.0,4.6
34,Genhe,100,CN,1595103629,91,50.78,121.52,15.55,2.2
35,Victoria Point,0,AU,1595103629,78,-27.58,153.3,12.22,0.45
36,Lebu,100,CL,1595103629,88,-37.62,-73.65,11.61,7.23
38,Saint Paul Harbor,90,US,1595103629,77,57.79,-152.41,15.0,2.6
39,Gravdal,42,NO,1595103629,77,68.12,13.5,13.05,4.48
40,Albany,46,US,1595103629,34,42.6,-73.97,33.89,1.91
41,Hong Kong,82,HK,1595103331,79,22.29,114.16,28.89,3.58
43,Bhuban,88,IN,1595103629,85,20.88,85.83,27.83,2.61
44,Santa Maria da Boa Vista,44,BR,1595103629,40,-8.81,-39.83,29.07,8.42
46,Ouricuri,45,BR,1595103630,41,-7.88,-40.08,27.61,3.2
47,Esperance,40,AU,1595103407,100,-33.87,121.9,10.0,2.1
48,Ahipara,99,NZ,1595103630,90,-35.17,173.17,14.93,4.89
49,Kiryat Gat,0,IL,1595103418,66,31.61,34.76,26.67,1.55
50,Ust-Nera,100,RU,1595103510,46,64.57,143.2,16.79,1.52
51,Severo-Kuril'sk,72,RU,1595103630,88,50.68,156.12,10.22,4.99
52,Lancaster,1,US,1595103331,40,40.25,-76.25,33.33,3.1
53,Christchurch,90,NZ,1595103586,100,-43.53,172.63,10.56,2.1
54,Fortuna,20,US,1595103630,68,40.6,-124.16,20.0,4.6
55,Ayan,100,RU,1595103630,98,56.45,138.17,12.53,2.38
56,San Patricio,5,MX,1595103630,75,19.22,-104.7,32.0,5.1
57,Fukuechō,100,JP,1595103630,91,32.69,128.84,25.41,4.89
58,Saint-Philippe,75,RE,1595103630,88,-21.36,55.77,19.0,9.3
60,Methven,71,NZ,1595103630,97,-43.63,171.65,6.67,1.24
61,Yerbogachën,38,RU,1595103630,94,61.28,108.01,6.8,1.79
62,Codrington,0,AU,1595103514,92,-38.27,141.97,7.54,5.77
63,Banda Aceh,56,ID,1595103630,81,5.56,95.32,26.16,1.75
64,Ketchikan,90,US,1595103630,100,55.34,-131.65,14.0,4.6
65,Tromsø,4,NO,1595103630,71,69.65,18.96,13.0,6.2
